"original_text","simplified_kindergarten","simplified_primary_school","simplified_secondary_school"
"we consider the security of practical continuous - variable quantum key distribution implementation with the local oscillator ( lo ) fluctuating in time , which opens a loophole for eve to intercept the secret key . we show that eve can simulate this fluctuation to hide her gaussian collective attack by reducing the intensity of the lo . numerical simulations demonstrate that , if bob does not monitor the lo intensity and does not scale his measurements with the instantaneous intensity values of lo , the secret key rate will be compromised severely .","we think it's safe for us to use a special way to send secret messages. 
this way is good because someone else can't read our secret messages easily. 

we show that this person can hide their secret messages by making them weaker. 
they make the signals weaker so they can't read our secret messages.","We think about how secure a special way to send secret messages is. This method uses a clock that can move back and forth very fast. If someone tries to listen in on this clock, they might be able to figure out the secret message.

This clock is called a local oscillator (lo). It's like a big wheel that spins around really fast. Sometimes, if we don't watch it closely enough, someone else might be able to see how fast it's spinning and use that information to try and guess the secret message.

We showed this by doing some computer simulations. If Bob doesn't pay attention to the clock's speed and doesn't take notes when he sees how fast it's moving, the secret messages will get weaker very quickly.","We consider a way to make quantum key distribution more secure. This method uses a local oscillator that can change over time, potentially allowing an attacker to intercept the secret key. We show how this could happen and how it could be used to attack the system. Our simulations demonstrate that if Bob doesn't monitor the oscillator's intensity or scales his measurements with its current values, the secret key rate will be severely compromised."
"North Ballston Spa is a census-designated place (CDP) within the town of Milton in Saratoga County, New York, United States. As of the 2010 census, it had a population of 1,338. The CDP is southwest of the center of Saratoga County, in the southeastern corner of the town of Milton. It is bordered to the south by the village of Ballston Spa, the Saratoga county seat; to the north by the Milton CDP; and to the east by the city of Saratoga Springs, the largest city in the county. New York State Route 50 runs through North Ballston Spa, connecting Ballston Spa and Saratoga Springs. References Census-designated places in Saratoga County, New York Census-designated places in New York (state)","North Ballston Spa is a town in New York. It has 1,338 people. It's near Milton and Saratoga Springs.","North Ballston Spa is a small place near Milton in New York state. It has about 1,338 people living there. North Ballston Spa is located southwest of the town center and south of another nearby village called Ballston Spa. There's also a big city to the east called Saratoga Springs. A road goes through North Ballston Spa, connecting it to other places like Ballston Spa and Saratoga Springs.","North Ballston Spa is a small town located within the town of Milton in Saratoga County, New York. As of 2010, it had a population of approximately 1,338 people. The area is situated southwest of the center of Saratoga County and is bordered by several other towns and cities, including the village of Ballston Spa to the south, Milton CDP to the north, and the city of Saratoga Springs to the east."
"Chimp or chimpanzee is a species of great ape native to the forests and savannas of tropical Africa. Chimp(s) or The Chimp may also refer to: The Chimp (1932 film), a Laurel and Hardy short film Chimps: So Like Us, a 1980 documentary film The Chimp (2001 film), a Kyrgyz film Chimps Inc., an animal sanctuary in Oregon, United States See also or or Chimpanzee (disambiguation)","Chimpanzee is a kind of big animal. It lives in Africa.","Chimpanzee is a kind of big ape that lives in Africa. There are different names for chimps: some people call them chimpanzees and others call them The Chimp.","Chimpanzee is a type of great ape that lives in Africa's forests and savannas. There are different names for chimps: chimpanzee, The Chimp, and sometimes just chimp."
"Vara Municipality (Vara kommun) is a municipality in Västra Götaland County in western Sweden. Its seat is located in the town of Vara. The present municipality consists of 25 original local government entities (as of 1863). Between 1974 and 1982 the territory of present Essunga Municipality was also included. Districts Bitterna Edsvära Eling Fyrunga Hällum Jung Kvänum Larv Laske-Vedum Levene Long Längjum Naum Norra Vånga Ryda Skarstad Slädene Sparlösa Södra Kedum Södra Lundby Tråvad Vara Önum Öttum References External links Vara Municipality - Official site Municipalities of Västra Götaland County Skaraborg","Vara is a town in Sweden. It has a big house called the seat. There are 25 towns nearby. Some other towns were added to it from 1974 to 1982.","Vara Municipality is a place in Sweden. It has a main town called Vara. There are 25 small towns and villages that make up the municipality now. A long time ago, some of these places were part of another bigger area called Essunga Municipality.","Värnamo Municipality is a municipality in Sweden's western county of Västra Götaland. Its main town is Värnamo. The current municipality has 25 original local government entities as of 1863. In the past, parts of Essunga Municipality were also part of it from 1974 to 1982."
"Puffing Billy may refer to: Puffing Billy Railway, a narrow-gauge heritage tourist railway near Melbourne, Australia Puffing Billy (locomotive), an early steam locomotive Puffing Billy Tournament, a board game convention focusing on train games Puffin' Billy, a famous piece of light music by Edward White Puffing Billy, military jargon for the M67 Immersion Heater Puffing Billy a short lived comic strip in The Beano about a fat boy called Billy.","Puffing Billy is a train. It's near Melbourne.","Puffing Billy is a name that can refer to:

* A special train in Australia
* A small steam engine used for trains
* A game where people play with trains
* Music by Edward White
* Military equipment
* A comic strip about a boy named Billy.","Puffing Billy is a name used to refer to:

* A narrow-gauge heritage tourist railway near Melbourne, Australia
* An early steam locomotive
* A board game convention focused on train games
* A famous piece of light music by Edward White
* Military jargon for the M67 Immersion Heater
* A comic strip in The Beano about a boy named Billy"
"Year 346 (CCCXLVI) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar. In the Roman Empire, it was known as the Year of the Consulship of Constantius and Claudius (or, less frequently, year 1099 Ab urbe condita). The denomination 346 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years. Events By place Asia In Korea, the Buyeo Kingdom is absorbed by Goguryeo. Geunchogo becomes king of the Korean kingdom of Baekje. By topic Religion Emperor Constans I uses his influence to secure the return of Athanasius. He is restored as Patriarch of Alexandria, and documents are compiled relating to his expulsion, under the title Apology Against the Arians. Macedonius I, Patriarch of Constantinople, is deposed again by Paul I. Julius Firmicus Maternus writes De erroribus profanarum religionum. The Visigoths are converted to Arianism by Wulfila. Births Zhang Tianxi, Chinese ruler of Former Liang (d. 406) Deaths He Chong (or Cidao), Chinese politician (b. 292) Maximin of Trier, German bishop (approximate date) Zhang Jun (or Gongting), Chinese prince (b. 307) References","Year 346 was a year in the calendar. It started on Wednesday. In Rome, it was called Year of Constantine and Claudius.

People used to count years from an old way. They counted from the day they were born. The number 346 is still used today. 

A long time ago, people in Asia had their own special way of counting years. It's like a big number that tells us how many times we have passed since our parents were born.

In Korea, a king named Goguryeo was very powerful. He became the ruler of Baekje. A man named Athanasius was important to him and helped him get back in charge.

A famous bishop wrote about something bad happening to people who didn't believe in God. 

Some people changed their way of counting years, like a new game. They used a special number that told them how many times they had passed since the day they were born.

There was also a king named He Chong and a prince named Zhang Jun.","346 was a common year in the Julian calendar. In the Roman Empire, it started on Wednesday. It was also known as Year of Constantine and Claudius.

The year 346 was used to name years since the medieval period. People in Europe used this method to name years. 

In Korea, the Buyeo Kingdom was absorbed by Goguryeo. A king named Geunchogo became the ruler of Baekje. He helped a man named Athanasius get back his job as leader of Alexandria.

A new bishop named Constans I tried to help Athanasius again. He got rid of some people who didn't believe in Christianity. 

In another country, called Macedon, a bishop named Paul was removed from his job by someone else named Paul.

The Visigoths, a group of people, were converted to believing in Arianism (a different kind of Christian faith) by a man named Wulfila.

There were some important births and deaths that year. 

People like Zhang Tianxi, who ruled China, died. People like He Chong, who was a politician, also died.","Year 346 was a common year in the Julian calendar. In the Roman Empire, it started on Wednesday. The Year of the Consulship of Constantius and Claudius is known as Year 1099 Ab urbe condita. This date has been used since the early medieval period to name European years.

In Korea, the Buyeo Kingdom was absorbed by Goguryeo. King Geunchogo became king of Baekje. In Asia, Emperor Constans I secured the return of Athanasius as Patriarch of Alexandria and wrote about his expulsion in a document called Apology Against the Arians.

Macedonius I was deposed again by Paul I. The Visigoths were converted to Arianism by Wulfila. Zhang Tianxi died, and He Chong or Cidao died. Maximin of Trier was a German bishop. Zhang Jun or Gongting was a Chinese prince."
"in this work , we propose a new local optimization method to solve a class of nonconvex semidefinite programming ( sdp ) problems . the basic idea is to approximate the feasible set of the nonconvex sdp problem by inner positive semidefinite convex approximations via a parameterization technique . this leads to an iterative procedure to search a local optimum of the nonconvex problem . the convergence of the algorithm is analyzed under mild assumptions . applications in static output feedback control are benchmarked and numerical tests are implemented based on the data from the compl@xmath0ib library .","we want to help solve problems that have many curves. 

a way to find a good answer is to use special shapes that are close to the real curve. 

this helps us find a better answer. 

the computer follows this method to find a good answer. 

it checks and rechecks until it finds the best answer.","Here's a simplified version:

We want to find a better way to solve problems that involve making decisions with complicated rules. 

A new method is being proposed to help solve these kinds of problems called nonconvex semidefinite programming problems. 

This method uses special approximations to make the problem easier to understand and solve. 

It then finds a good solution by going through many steps, like testing different options. 

The way this algorithm works can be checked under certain rules.","Here's a simplified version:

We propose a new method to solve nonconvex semidefinite programming problems. The basic idea is to approximate the feasible set of these problems by using convex approximations and then search for a local optimum in this approximation. This process can be repeated until an optimal solution is found. We analyze how well our algorithm works under certain conditions, and we test it with real-world data from a library called compl@xmath0ib."
"cosmic string networks generate cosmological perturbations actively throughout the history of the universe . thus , the string sourced anisotropy of the cosmic microwave background is not affected by silk damping as much as the anisotropy seeded by inflation . the spectrum of perturbations generated by strings does not match the observed cmb spectrum on large angular scales ( @xmath0 ) and is bounded to contribute no more than @xmath1 of the total power on those scales . however , when this bound is marginally saturated , the anisotropy created by cosmic strings on small angular scales @xmath2 will dominate over that created by the primary inflationary perturbations . this range of angular scales in the cmb is presently being measured by a number of experiments ; their results will test this prediction of cosmic string networks soon .","strings make changes to space
space gets different colors
these strings are very old
they made some colors in space
this color is not the same as others
the strings can make more colors than expected
when they get a little bit stronger
more colors will be made in space
we are trying to see these colors","Cosmic strings create tiny distortions in space throughout the universe's history. These distortions are not affected as much by other things that happen to the universe as they are by something called inflation.

The tiny distortions created by cosmic strings do not match what we know about the microwave background radiation, which is a type of light left over from the early universe. The microwave background has a certain pattern of distortion on large scales.

When cosmic strings make more and more of these small distortions, they can dominate over other patterns made by something called inflation in space. Scientists are trying to measure this range of space to see if it matches what we know about the universe's history.","Cosmic strings generate anisotropies in the cosmic microwave background throughout the universe's history. 

The presence of cosmic strings affects the anisotropy seeded by inflation less than that created by other factors like the cosmic microwave background itself.

When cosmic strings are not saturated with energy, their small-scale anisotropy dominates over the larger-scale anisotropies caused by inflation.

Research is being conducted to measure this effect on large angular scales using experiments."
"A double-decker is a vehicle that has two levels for passengers or cargo, one deck above the other. Such vehicles include: Aerial tramway Bilevel rail car a rail passenger vehicle consisting of 2 levels Bombardier BiLevel Coach Bombardier MultiLevel Coach Dome car Double-deck aircraft Double-deck elevator Double-decker bus Double-decker tram Superliner (railcar) Autorack (US) or car transporter (UK), a railway vehicle for transporting cars or other road vehicles Car carrier trailer or auto carrier, a road trailer for transporting cars or other road vehicles Two-decker is a sailing ship with 2 decks armed with cannon. A double-decker may also refer to: Double Decker (chocolate bar) Double-decker sandwich, such as a club sandwich or Dagwood sandwich, with two layers of meat and condiments sandwiched between three pieces of bread A multi-level roadway such as those found in Chicago A multi-level bridge A double-decker outhouse Double Decker, a 1987 Hong Kong film Double Decker (2011 film), a 2011 Kannada-language film Double Decker! Doug & Kirill, a 2018 Japanese anime series","A double-decker is a big car with two levels. It has seats or boxes on top and bottom.","A double-decker is a special kind of vehicle that has two levels. These levels can be for people or things like cars. 

Some examples include: 
- A big tramway
- A car with lots of levels inside
- An airplane with two decks
- A bus with two decks
- A road trailer to carry cars

A double-decker is also a type of ship that has two decks and can shoot cannons on the top deck.","A double-decker is a vehicle with two levels for passengers or cargo. Examples include aerial tramways and rail cars that have multiple levels."
"Holiday is a 1930 American pre-Code romantic comedy film which tells the story of a young man who is torn between his free-thinking lifestyle and the tradition of his wealthy fiancée's family. It stars Ann Harding, Mary Astor, Edward Everett Horton, Robert Ames and Hedda Hopper. It was produced and released by Pathé Exchange. The film was adapted by Horace Jackson from the 1928 play by Philip Barry. It was directed by Edward H. Griffith. Cast Award nominations It was nominated for Academy Awards for Best Actress in a Leading Role (Ann Harding) and Best Writing, Adaptation. Remake The film was remade in 1938. Directed by George Cukor, it starred Katharine Hepburn and Cary Grant, with Horton reprising his role as Professor Nick Potter from the 1930 version. References External links 1930 films 1930s romantic comedy-drama films 1930s screwball comedy films American films American romantic comedy-drama films American screwball comedy films American black-and-white films English-language films American films based on plays American independent films Pathé Exchange films Films directed by Edward H. Griffith 1930s independent films","Holiday is a movie about a man who likes to be different and go his own way. He wants to be friends with someone from a rich family but they don't get along.

The actors in the movie are Ann Harding, Mary Astor, Edward Horton, Robert Ames, and Hedda Hopper. The people who made the movie were called Pathé Exchange.","Holiday is a movie about a man who likes to do things his own way and doesn't want to be married to someone else's family. He meets a woman from a wealthy family and they fall in love. The movie stars Ann Harding and Mary Astor. It was made by Pathé Exchange and was released in 1930.","Holiday is a 1930 film about a young man who chooses to live life his own way despite being married to someone from a wealthy family. The movie stars Ann Harding and Mary Astor in the lead roles. It was made by Pathé Exchange and directed by Edward H. Griffith. The film won Academy Awards for Best Actress (Ann Harding) and Best Writing, Adaptation."
"the central two - pion exchange @xmath0 potential at large distances is studied in the framework of relativistic chiral symmetry and related directly to the nucleon scalar form factor , which describes the mass density of its pion cloud . this relationship is well supported by phenomenology and allows the dependence of the asymptotic potential on the nucleon mass to be assessed . results in the heavy baryon limit are about 25% larger than those corresponding to the empirical nucleon mass in the region of physical interest . this indicates that it is very important to keep this mass finite in precise descriptions of the @xmath0 system and supports the efficacy of the relativistic chiral framework . one also estimates the contribution of subleading effects and presents a simple discussions of the role of the quark condensate in this problem . m.r . robilotta _ _","the pion at large distances is studied with special rules. 
it helps us understand how strong it pulls on other particles.
this rule works well for many kinds of particles.
it also helps us see how the strong force behaves in different situations.
in some cases, this rule gives more accurate results than what we know from experiments.
the rule helps keep things simple and clear.","The pion exchange potential at large distances is studied in a special way. It's connected to how heavy particles behave. This connection helps us understand how much mass there is inside the pion cloud. We've seen that this connection works well with real data and helps us figure out how strong the force between nucleons (tiny particles) is. In the case of very heavy baryons, it's about 25% stronger than what we see in other areas where it's important. This means we need to be careful when describing these forces so they're not too big or too small.","The central two - pion exchange potential at large distances is studied in the framework of relativistic chiral symmetry. This relationship is well supported by phenomenology and allows the dependence of the asymptotic potential on the nucleon mass to be assessed. In the heavy baryon limit, this effect is about 25% larger than those corresponding to the empirical nucleon mass."
