"original_text","simplified_kindergarten","simplified_primary_school","simplified_secondary_school"
"Abidjan, Ivory Coast (CNN) -- The U.S. Embassy consular section in Abidjan may reopen Monday, but it initially will provide limited services, according to the State Department. The department continues to warn American citizens against traveling to Ivory Coast despite the arrest of former President Laurent Gbagbo, who defied calls to step down after an electoral commission declared he lost a presidential election in November to Alassane Ouattara. A violent power struggle followed the standoff, with supporters loyal to both sides taking to the streets in protests since December. Hundreds have been killed, according to the United Nations and the International Committee of the Red Cross. Ouattara has been recognized internationally as the legitimate winner. ""Contacting the Consular Section before making a visit would be prudent under the circumstances,"" the State Department said in a statement Thursday. ""We need to reiterate that because of the conditions in the country, the Embassy has severely diminished capacity to assist U.S. citizens and that in the event of a temporary flare-up in violence sheltering in place is often your best option."" The statement claims there are continued reports of lawlessness in various neighborhoods of Abidjan, the nation's largest city and commercial center.","the consular section in Abidjan may reopen Monday. the department warns american","the consular section in Abidjan may reopen Monday. the department warns american","the consular section in Abidjan may reopen Monday. the department warns american"
"KMT often refers to Kuomintang, a political party in Republic of China (Taiwan). KMT or kmt may also refer to: ""KMT"" (song), a 2017 song by Drake Kmt (magazine), a magazine on ancient Egypt kilometre-tonne or kmt, a unit of payload-distance King in Council (Sweden) or K.M:t, a term of constitutional importance that was used in Sweden before 1975 when the 1974 Instrument of Government came into force km.t, a name for ancient Egypt using the hieroglyph Km Kartu multi-trip (KMT). Card for KRL Commuterline","KMT or kmt may also refer to: ""KMT"" (song), a","KMT or kmt may also refer to: ""KMT"" (song), a","KMT or kmt may also refer to: ""KMT"" (song), a"
"the differential cross section for @xmath0-deuteron compton scattering from a tensor polarized deuteron is computed in an effective field theory . the first non - vanishing contributions to this differential cross section are the interference terms between the leading electric coupling diagrams and the subleading single potential pion exchange diagrams or the subleading magnetic moment coupling diagrams . at 90@xmath1 photon scattering angle , only the pion term contributes at this order to the tensor polarized differential cross section . this provides a clean way to study the photon pion dynamics in the two nucleon sector . the effect is measurable for photon energies between 40 and 80 mev provided the uncertainty in the measured cross sections are @xmath2 . # 1#1 # 1#1 # 1| # 1| # 1#2 # 11.5ex-16.5mu # 1 # 1#2#3#4#1 * # 2 * , # 3 ( # 4 )","the differential cross section for @xmath0-deuteron compton scattering from a","the differential cross section for @xmath0-deuteron compton scattering from a","the differential cross section for @xmath0-deuteron compton scattering from a"
"Until January 1, 2007, Blaabjerg (Danish: Blåbjerg - literally blue mountain) was a municipality (Danish, kommune) in Ribe County on the west coast of the Jutland peninsula in southwest Denmark. The municipality covered an area of 254 km2, and had a total population of 6,509 (2005). Its latest mayor was Preben Olesen. The site of its municipal council was the town of Nørre Nebel. The municipality was created in 1970 due to a (""Municipality Reform"") that combined the following parishes: Henne, Kvong, Lunde, Lydum, Lønne, Nørre Nebel, and Ovtrup Parish. Blaabjerg municipality ceased to exist due to Kommunalreformen (""The Municipality Reform"" of 2007). It was merged with the former Blåvandshuk, Helle, Varde, and Ølgod municipalities to form a new Varde municipality. Blaabjerg and the city of Nørre Nebel is home to a landing station where multiple transatlantic telephone cable systems are terminated, including DANICE and Havfrue. References External links Varde municipality's official website Varde municipality's official tourist information website Former municipalities of Denmark","the municipality was created in 1970 due to a ""Municipality Reform"" it was","the municipality was created in 1970 due to a ""Municipality Reform"" it was","the municipality was created in 1970 due to a ""Municipality Reform"" it was"
"(CNN) -- Flash flooding ravaged areas around Afghanistan's capital, killing more than 70 people and destroying dozens of houses, a local leader said Saturday. Additionally, President Hamid Karzai's office said in a news release that seven others were killed in eastern Nuristan and Khost provinces due to floods. The worst-hit area appears to have been the Sorubi district, located in Kabul province. Fast-moving waters washed away small villages in this area, according to community leader Malek Samad. The water destroyed a hospital and its ambulance, many shops and vehicles, not to mention wiping out hundreds of cattle. ""So far, we have been able to find the dead bodies of 13 people from the Kabul River that passes through the area,"" Samad said. ""And we are sure that the rest are all dead.""","new: the worst-hit area appears to have been the Sorubi district, located in Kab","new: the worst-hit area appears to have been the Sorubi district, located in Kab","new: the worst-hit area appears to have been the Sorubi district, located in Kab"
"top plus jets production at hadron collider allows us to study the couplings of the top quark . in the standard model , two single top processes contribute to the top - jets final state . beyond the standard model , additional direct top production can occur . all three processes probe top gauge couplings including flavor mixing . the structure of accompanying qcd jets allows us to separate the direct top signal from the qcd backgrounds as well as to disentangle the three top plus jets production mechanisms orthogonally to the usual bottom tags .","top plus jets production at hadron collider allows us to study the couplings","top plus jets production at hadron collider allows us to study the couplings","top plus jets production at hadron collider allows us to study the couplings"
"Salem, Wisconsin may refer to: Salem (community), Kenosha County, Wisconsin, an unincorporated community Salem, Pierce County, Wisconsin, a town in Pierce County Salem (community), Pierce County, Wisconsin, an unincorporated community in Pierce County See also Salem Lakes, Wisconsin, a village in Kenosha County, formerly the town of Salem Salem Oaks, Wisconsin, an unincorporated community in Kenosha County","salem, Wisconsin may refer to: Salem (community), Kenosha County,","salem, Wisconsin may refer to: Salem (community), Kenosha County,","salem, Wisconsin may refer to: Salem (community), Kenosha County,"
"(CNN) -- Two people were executed Tuesday in China for their part in a tainted milk scandal that killed at least six babies and sickened about 300,000 others, state-run media reported. Zhang Yujun was executed for endangering public safety and Geng Jinping was executed for producing and selling toxic food, the Xinhua news agency said. The tainted formula came to light in September 2008, after several babies fell ill from drinking formula that contained melamine. Melamine is commonly used in coatings and laminates, wood adhesives, fabric coatings, ceiling tiles and flame retardants. Some Chinese dairy plants added the chemical to milk products so they would appear to have a higher protein level. The tainted milk caused kidney stones and urinary tract problems in hundreds of thousands of children. The 22 Chinese dairy producers that made the formula have offered compensation to victims' families. In all, 21 people were tried and sentenced in January for their roles in the scandal, Xinhua reported. Among them, Zhang and Geng were sentenced to death, and most others received at least 15 years in prison.","two people executed in china for their part in tainted milk scandal. t","two people executed in china for their part in tainted milk scandal. t","two people executed in china for their part in tainted milk scandal. t"
"Dictyochales (Silicoflagellates, or Dictyochophyceae sensu stricto) are a small group of unicellular heterokont algae, found in marine environments. Characteristics In one stage of their life cycle, they produce a siliceous skeleton, composed of a network of bars and spikes arranged to form an internal basket. These form a small component of marine sediments, and are known as microfossils from as far back as the early Cretaceous. Classification The algae in the Dictyochophyceae have been previously classified in the Chrysophyceae. There is one living genus, Dictyocha, with two commonly recognised species. There are also several extinct genera, but their classification is difficult, since skeletons may show diverse forms within each living species. Dictyocha has one golden-brown chloroplast and a long flagellum extended into a wing-like shape. The skeleton-bearing stage is uninucleate, with many microtubule-supported projections, and there are also uninucleate and micronucleate stages that do not produce skeletons, but how they relate to each other is poorly understood. The cell structure places the silicoflagellates in a group called the axodines. Terminology They are usually treated as an order, called the Dictyochales by botanists and the Silicoflagellida by zoologists. ""Dictyochophyceae"" and ""silicoflagellates"" are sometimes equated. References Dictyochophyceae Heterokont orders","skeletons are a small group of unicellular heterokont algae found in marine","skeletons are a small group of unicellular heterokont algae found in marine","skeletons are a small group of unicellular heterokont algae found in marine"
"Jockey Sean Quinlan and trainer Fergal O’Brien were penalised by Ludlow stewards on Thursday when they were found guilty of schooling in public with regards to the run of Iora Glas in the opening novices hurdle. The six-year-old finished fourth, just six lengths behind winner Baths Well but, after hearing evidence from trainer and jockey, the stewards fined O’Brien £3,000 and Quinlan was banned from January 29 to February 11. Jockey Sean Quinlan has been banned after being found guilty of schooling in public by Ludlow stewards . Iora Glass was also prevented from running until February 27 after the stewards found the duo in breach of the rules regarding schooling/conditioning a horse on the racecourse. The south Shropshire stewards also enjoyed a moral victory when trainer David Bridgewater was fined £2,000 after labelling them ‘idiots’ last week. Bridgewater apologised for the comments he made after 16-year-old amateur rider Jake Launchbury was banned for 21 days. He accepted the British Horseracing Authority fine with remorse on Thursday.","the six-year-old finished fourth, just six lengths behind winner baths Well.","the six-year-old finished fourth, just six lengths behind winner baths Well.","the six-year-old finished fourth, just six lengths behind winner baths Well."
"Naïve empiricism is a term used in several ways in different fields. In the philosophy of science, it is used by opponents to describe the position, associated with some logical positivists, that ""knowledge can be clearly learnt through evaluation of the natural world and its substances, and, through empirical means, learn truths"". The term also is used to describe a particular methodology for literary analysis. See also: Empiricism Falsifiability (especially, ""Naïve falsification"") References Empiricism Epistemological theories Metatheory of science Epistemology of science Logical positivism","empiricism is a term used in different fields. it is used to describe","empiricism is a term used in different fields. it is used to describe","empiricism is a term used in different fields. it is used to describe"
"Tantric or variations may refer to: Religion Beliefs and practices Tantra, esoteric traditions of Hinduism and Buddhism Tantric sex, tantric practices to exercise sexuality in a ritualized or yogic context Tantric yoga, a form of yoga Vajrayana, also known as Tantric Buddhism Tibetan tantric practice Neotantra, a Western form of tantra Tantra massage, a form of erotic massage Religious texts Tantras (Buddhism), Indian and Tibetan texts which outline Buddhist religious systems Tantras (Hinduism), scriptures pertaining to esoteric traditions rooted in Hindu philosophy Music Tantric (band), a hard rock band from Louisville, Kentucky Tantric (album), the debut album by the band of the same name Other uses Tantra (Kolkata), a nightclub in Kolkata, India Tantras (novel), a Forgotten Realms novel Tantras (module), a Forgotten Realms adventure","Tantric yoga, a form of yoga Vajrayana, also known as Tantric","Tantric yoga, a form of yoga Vajrayana, also known as Tantric","Tantric yoga, a form of yoga Vajrayana, also known as Tantric"
"Monopoly game may refer to: Games Monopoly (game), a popular board game created in the early 20th century Monopoly (game show), a 1990 American television game show based on the board game Monopoly (video game), any one of more than a dozen video game adaptations of the board game The Monopoly Game 2, a Japanese video game from 1995 for the Super Famicom Monopoly: The Card Game, a card game loosely based on the board game Music Monopoly Game, a 1998 recording by the Toshiko Akiyoshi Jazz Orchestra featuring Lew Tabackin See also Canadian Monopoly Hong Kong Monopoly McDonald's Monopoly, a sweepstakes advertising promotion of McDonald's restaurants and Hasbro using the theme of the board game Monopoly Party, a board-game-styled video game Monopoly Junior, a simplified version of the board game Monopoly Monopoly Tycoon, a construction and management simulation computer game that uses a city derived from the Monopoly board game Monopoly: The Mega Edition, a 2006 variant of the board game","games Monopoly (game), a popular board game created in the early 20th century","games Monopoly (game), a popular board game created in the early 20th century","games Monopoly (game), a popular board game created in the early 20th century"
"By . Jonathan Block . At 2:54 p.m, just five minutes after a moment of silence was held, CNN's coverage showed the memorial scene live from near the finish line of the marathon on Boylston Street. Vice President Joe Biden was in attendance, as was Massachusetts Gov. Deval Patrick and Boston Mayor Marty Walsh. The coverage at the time was being broadcast without anchor commentary, although background noise, including the sound of bagpipes, can be heard. All of a sudden, a man can be heard saying, 'It sounded good? I didn't know I was going to get stranded there.' An open mic captured a man using the f-word on CNN's live coverage of the Boston Marathon bombings anniversary . Marathon survivor Erika Brannick, a teacher from Maryland, uses a walker as she prepares to cross the finish line following a tribute in honor of the one-year anniversary of the Boston Marathon bombings on Tuesday . The man then mentions something about being in a camera shot and says, 'I was like, f***!' The live feed — with the f-word — was also used by local by local Boston television station, according to Deadspin.","the memorial scene was broadcast at 2:54 p.m., just five minutes after","the memorial scene was broadcast at 2:54 p.m., just five minutes after","the memorial scene was broadcast at 2:54 p.m., just five minutes after"
